id,Month,Year,Season,Quarter,Is_Holiday,Occupancy
44,August,2024,Winter,Q3,false,6771.6
45,September,2024,Spring,Q3,false,458.1
46,October,2024,Spring,Q4,false,6939.4
47,November,2024,Spring,Q4,false,9065.0
48,December,2024,Summer,Q4,true,1181.7
49,January,2025,Summer,Q1,true,7007.1
50,February,2025,Summer,Q1,false,8660.9
51,March,2025,Autumn,Q1,false,5873.6
52,April,2025,Autumn,Q2,false,2148.6
53,May,2025,Autumn,Q2,false,5553.5
54,June,2025,Winter,Q2,false,4557.0
55,July,2025,Winter,Q3,false,8862.1
56,August,2025,Winter,Q3,false,2847.3
57,September,2025,Spring,Q3,false,7738.3
58,October,2025,Spring,Q4,false,4795.8
59,November,2025,Spring,Q4,false,7179.9
60,December,2025,Summer,Q4,true,2006.2
61,January,2026,Summer,Q1,true,1214.1
62,February,2026,Summer,Q1,false,1352.7
63,March,2026,Autumn,Q1,false,5701.3
64,April,2026,Autumn,Q2,false,2600.9
65,May,2026,Autumn,Q2,false,1068.9
66,June,2026,Winter,Q2,false,429.9
67,July,2026,Winter,Q3,false,8609.4
68,August,2026,Winter,Q3,false,8534.2
69,September,2026,Spring,Q3,false,4009.2
70,October,2026,Spring,Q4,false,8078.5
71,November,2026,Spring,Q4,false,5588.1
72,December,2026,Summer,Q4,true,2599.9
73,January,2027,Summer,Q1,true,9949.0
74,February,2027,Summer,Q1,false,2807.5
75,March,2027,Autumn,Q1,false,6804.2
76,April,2027,Autumn,Q2,false,295.7
77,May,2027,Autumn,Q2,false,3704.2
78,June,2027,Winter,Q2,false,2200.0
79,July,2027,Winter,Q3,false,3319.9
80,August,2027,Winter,Q3,false,5778.3
81,September,2027,Spring,Q3,false,9676.4
82,October,2027,Spring,Q4,false,4602.2
83,November,2027,Spring,Q4,false,8988.5
84,December,2027,Summer,Q4,true,1302.2
85,January,2028,Summer,Q1,true,8890.4
86,February,2028,Summer,Q1,false,4380.8
87,March,2028,Autumn,Q1,false,3441.6
88,April,2028,Autumn,Q2,false,1227.0
89,May,2028,Autumn,Q2,false,3248.8
90,June,2028,Winter,Q2,false,6152.7
91,July,2028,Winter,Q3,false,1536.8
92,August,2028,Winter,Q3,false,6947.2
93,September,2028,Spring,Q3,false,6509.0
94,October,2028,Spring,Q4,false,8283.6
95,November,2028,Spring,Q4,false,3140.0
96,December,2028,Summer,Q4,true,1100.3
97,January,2029,Summer,Q1,true,7783.2
98,February,2029,Summer,Q1,false,1901.8
99,March,2029,Autumn,Q1,false,2916.0
100,April,2029,Autumn,Q2,false,295.0
101,May,2029,Autumn,Q2,false,83.8
102,June,2029,Winter,Q2,false,5119.7
103,July,2029,Winter,Q3,false,6383.7
104,August,2029,Winter,Q3,false,4727.3
105,September,2029,Spring,Q3,false,2215.3
106,October,2029,Spring,Q4,false,7951.6
107,November,2029,Spring,Q4,false,9912.5
108,December,2029,Summer,Q4,true,3436.4
109,January,2030,Summer,Q1,true,5291.1
110,February,2030,Summer,Q1,false,3808.0
111,March,2030,Autumn,Q1,false,2426.5
112,April,2030,Autumn,Q2,false,6011.6
113,May,2030,Autumn,Q2,false,7629.3
114,June,2030,Winter,Q2,false,9359.5
115,July,2030,Winter,Q3,false,391.0
116,August,2030,Winter,Q3,false,9698.2
117,September,2030,Spring,Q3,false,5788.4
118,October,2030,Spring,Q4,false,8852.1
119,November,2030,Spring,Q4,false,387.3
120,December,2030,Summer,Q4,true,6378.9
121,January,2031,Summer,Q1,true,7560.0
122,February,2031,Summer,Q1,false,1535.8
123,March,2031,Autumn,Q1,false,9916.5
124,April,2031,Autumn,Q2,false,8577.3
125,May,2031,Autumn,Q2,false,9876.6
126,June,2031,Winter,Q2,false,1680.7
127,July,2031,Winter,Q3,false,3989.0
128,August,2031,Winter,Q3,false,6589.4
129,September,2031,Spring,Q3,false,8477.1
130,October,2031,Spring,Q4,false,6834.3
131,November,2031,Spring,Q4,false,1525.5
132,December,2031,Summer,Q4,true,378.8
133,January,2032,Summer,Q1,true,2805.0
134,February,2032,Summer,Q1,false,1819.9
135,March,2032,Autumn,Q1,false,7625.5
136,April,2032,Autumn,Q2,false,7389.1
137,May,2032,Autumn,Q2,false,3510.3
138,June,2032,Winter,Q2,false,1660.9
139,July,2032,Winter,Q3,false,3611.6
140,August,2032,Winter,Q3,false,9352.2
141,September,2032,Spring,Q3,false,4118.1
142,October,2032,Spring,Q4,false,671.5
143,November,2032,Spring,Q4,false,160.8
144,December,2032,Summer,Q4,true,9246.6
145,January,2033,Summer,Q1,true,6432.5
146,February,2033,Summer,Q1,false,2621.3
147,March,2033,Autumn,Q1,false,1168.9
148,April,2033,Autumn,Q2,false,4634.6
149,May,2033,Autumn,Q2,false,7402.5
150,June,2033,Winter,Q2,false,7013.5
151,July,2033,Winter,Q3,false,4773.8
152,August,2033,Winter,Q3,false,9463.2
153,September,2033,Spring,Q3,false,4015.9
154,October,2033,Spring,Q4,false,557.6
155,November,2033,Spring,Q4,false,7302.6
156,December,2033,Summer,Q4,true,2812.9
157,January,2034,Summer,Q1,true,2742.2
158,February,2034,Summer,Q1,false,920.9
159,March,2034,Autumn,Q1,false,1685.0
160,April,2034,Autumn,Q2,false,2243.0
161,May,2034,Autumn,Q2,false,7631.6
162,June,2034,Winter,Q2,false,1322.8
163,July,2034,Winter,Q3,false,7620.2
164,August,2034,Winter,Q3,false,8003.0
165,September,2034,Spring,Q3,false,3741.2
166,October,2034,Spring,Q4,false,7684.9
167,November,2034,Spring,Q4,false,8139.6
168,December,2034,Summer,Q4,true,9266.8
169,January,2035,Summer,Q1,true,9715.1
170,February,2035,Summer,Q1,false,376.2
171,March,2035,Autumn,Q1,false,3692.9
172,April,2035,Autumn,Q2,false,684.7
173,May,2035,Autumn,Q2,false,4165.4
174,June,2035,Winter,Q2,false,2383.1
175,July,2035,Winter,Q3,false,9148.0
176,August,2035,Winter,Q3,false,2912.9
177,September,2035,Spring,Q3,false,5233.2
178,October,2035,Spring,Q4,false,3420.2
179,November,2035,Spring,Q4,false,8350.3
180,December,2035,Summer,Q4,true,4225.9
181,January,2036,Summer,Q1,true,3355.0
182,February,2036,Summer,Q1,false,5460.3
183,March,2036,Autumn,Q1,false,6297.9
184,April,2036,Autumn,Q2,false,7828.4
185,May,2036,Autumn,Q2,false,3607.8
186,June,2036,Winter,Q2,false,5925.6
187,July,2036,Winter,Q3,false,336.0
188,August,2036,Winter,Q3,false,2627.2
189,September,2036,Spring,Q3,false,9229.7
190,October,2036,Spring,Q4,false,6989.3
191,November,2036,Spring,Q4,false,3617.6
192,December,2036,Summer,Q4,true,3813.0
193,January,2037,Summer,Q1,true,14.7
194,February,2037,Summer,Q1,false,3141.2
195,March,2037,Autumn,Q1,false,9965.9
196,April,2037,Autumn,Q2,false,9667.5
197,May,2037,Autumn,Q2,false,1231.3
198,June,2037,Winter,Q2,false,6730.4
199,July,2037,Winter,Q3,false,184.3
200,August,2037,Winter,Q3,false,1232.2
201,September,2037,Spring,Q3,false,7709.2
202,October,2037,Spring,Q4,false,6504.4
203,November,2037,Spring,Q4,false,2681.0
204,December,2037,Summer,Q4,true,7515.8
205,January,2038,Summer,Q1,true,9370.4
206,February,2038,Summer,Q1,false,8362.2
207,March,2038,Autumn,Q1,false,6161.1
208,April,2038,Autumn,Q2,false,1681.2
209,May,2038,Autumn,Q2,false,5968.8
210,June,2038,Winter,Q2,false,5448.1
211,July,2038,Winter,Q3,false,2842.9
212,August,2038,Winter,Q3,false,8155.4
213,September,2038,Spring,Q3,false,6869.5
214,October,2038,Spring,Q4,false,4344.3
215,November,2038,Spring,Q4,false,6788.4
216,December,2038,Summer,Q4,true,1483.9
217,January,2039,Summer,Q1,true,2486.0
218,February,2039,Summer,Q1,false,3836.4
219,March,2039,Autumn,Q1,false,6003.4
220,April,2039,Autumn,Q2,false,2650.2
221,May,2039,Autumn,Q2,false,5938.5
222,June,2039,Winter,Q2,false,7189.9
223,July,2039,Winter,Q3,false,4300.4
224,August,2039,Winter,Q3,false,191.2
225,September,2039,Spring,Q3,false,3141.4
226,October,2039,Spring,Q4,false,9480.4
227,November,2039,Spring,Q4,false,458.9
228,December,2039,Summer,Q4,true,2850.5
229,January,2040,Summer,Q1,true,5073.6
230,February,2040,Summer,Q1,false,8438.8
231,March,2040,Autumn,Q1,false,5732.1
232,April,2040,Autumn,Q2,false,4903.3
233,May,2040,Autumn,Q2,false,9578.3
234,June,2040,Winter,Q2,false,2278.5
235,July,2040,Winter,Q3,false,4833.6
236,August,2040,Winter,Q3,false,494.2
237,September,2040,Spring,Q3,false,2723.1
238,October,2040,Spring,Q4,false,5919.1
239,November,2040,Spring,Q4,false,7756.1
240,December,2040,Summer,Q4,true,1790.8
241,January,2041,Summer,Q1,true,5296.0
242,February,2041,Summer,Q1,false,3716.2
243,March,2041,Autumn,Q1,false,4629.4
244,April,2041,Autumn,Q2,false,5685.7
245,May,2041,Autumn,Q2,false,7119.5
246,June,2041,Winter,Q2,false,5702.4
247,July,2041,Winter,Q3,false,6258.3
248,August,2041,Winter,Q3,false,8225.4
249,September,2041,Spring,Q3,false,8014.6
250,October,2041,Spring,Q4,false,5860.4
251,November,2041,Spring,Q4,false,7473.5
252,December,2041,Summer,Q4,true,5155.4
253,January,2042,Summer,Q1,true,4820.3
254,February,2042,Summer,Q1,false,6420.6
255,March,2042,Autumn,Q1,false,2502.4
256,April,2042,Autumn,Q2,false,3960.6
257,May,2042,Autumn,Q2,false,4760.1
258,June,2042,Winter,Q2,false,2917.4
259,July,2042,Winter,Q3,false,2557.5
260,August,2042,Winter,Q3,false,2722.0
261,September,2042,Spring,Q3,false,719.9
262,October,2042,Spring,Q4,false,5917.3
263,November,2042,Spring,Q4,false,6564.6
264,December,2042,Summer,Q4,true,8124.7
265,January,2043,Summer,Q1,true,2197.2
266,February,2043,Summer,Q1,false,5748.3
267,March,2043,Autumn,Q1,false,2407.1
268,April,2043,Autumn,Q2,false,4898.3
269,May,2043,Autumn,Q2,false,620.1
270,June,2043,Winter,Q2,false,9049.3
271,July,2043,Winter,Q3,false,5696.3
272,August,2043,Winter,Q3,false,29.9
273,September,2043,Spring,Q3,false,6269.6
274,October,2043,Spring,Q4,false,5471.9
275,November,2043,Spring,Q4,false,7782.7
276,December,2043,Summer,Q4,true,7573.7
277,January,2044,Summer,Q1,true,227.6
278,February,2044,Summer,Q1,false,4173.2
279,March,2044,Autumn,Q1,false,1071.4
280,April,2044,Autumn,Q2,false,4146.7
281,May,2044,Autumn,Q2,false,1269.3
282,June,2044,Winter,Q2,false,2470.1
283,July,2044,Winter,Q3,false,6851.3
284,August,2044,Winter,Q3,false,4915.7
285,September,2044,Spring,Q3,false,2945.4
286,October,2044,Spring,Q4,false,2521.1
287,November,2044,Spring,Q4,false,8591.8
288,December,2044,Summer,Q4,true,4294.0
289,January,2045,Summer,Q1,true,4378.2
290,February,2045,Summer,Q1,false,1441.5
291,March,2045,Autumn,Q1,false,7288.6
292,April,2045,Autumn,Q2,false,9638.0
293,May,2045,Autumn,Q2,false,4771.0
294,June,2045,Winter,Q2,false,86.0
295,July,2045,Winter,Q3,false,1322.4
296,August,2045,Winter,Q3,false,9684.1
297,September,2045,Spring,Q3,false,8642.3
298,October,2045,Spring,Q4,false,1792.5
299,November,2045,Spring,Q4,false,8330.0
300,December,2045,Summer,Q4,true,459.3
301,January,2046,Summer,Q1,true,468.6
302,February,2046,Summer,Q1,false,5175.0
303,March,2046,Autumn,Q1,false,6584.3
304,April,2046,Autumn,Q2,false,5727.1
305,May,2046,Autumn,Q2,false,5835.2
306,June,2046,Winter,Q2,false,2815.3
307,July,2046,Winter,Q3,false,1866.9
308,August,2046,Winter,Q3,false,9289.6
309,September,2046,Spring,Q3,false,1113.2
310,October,2046,Spring,Q4,false,5703.2
311,November,2046,Spring,Q4,false,3499.5
312,December,2046,Summer,Q4,true,1334.2
313,January,2047,Summer,Q1,true,5799.2
314,February,2047,Summer,Q1,false,5611.7
315,March,2047,Autumn,Q1,false,2748.7
316,April,2047,Autumn,Q2,false,6823.6
317,May,2047,Autumn,Q2,false,2106.7
318,June,2047,Winter,Q2,false,3646.6
319,July,2047,Winter,Q3,false,3620.8
320,August,2047,Winter,Q3,false,4752.2
321,September,2047,Spring,Q3,false,5064.0
322,October,2047,Spring,Q4,false,8959.7
323,November,2047,Spring,Q4,false,7058.0
324,December,2047,Summer,Q4,true,1054.6
325,January,2048,Summer,Q1,true,7846.1
326,February,2048,Summer,Q1,false,2707.4
327,March,2048,Autumn,Q1,false,3163.1
328,April,2048,Autumn,Q2,false,6611.4
329,May,2048,Autumn,Q2,false,4563.0
330,June,2048,Winter,Q2,false,3542.2
331,July,2048,Winter,Q3,false,2393.8
332,August,2048,Winter,Q3,false,4179.0
333,September,2048,Spring,Q3,false,1808.3
334,October,2048,Spring,Q4,false,8580.9
335,November,2048,Spring,Q4,false,1057.7
336,December,2048,Summer,Q4,true,6558.7
337,January,2049,Summer,Q1,true,9710.9
338,February,2049,Summer,Q1,false,4806.5
339,March,2049,Autumn,Q1,false,4351.5
340,April,2049,Autumn,Q2,false,6224.4
341,May,2049,Autumn,Q2,false,3617.3
342,June,2049,Winter,Q2,false,1961.6
343,July,2049,Winter,Q3,false,2040.5
344,August,2049,Winter,Q3,false,6748.7
345,September,2049,Spring,Q3,false,4993.1
346,October,2049,Spring,Q4,false,7576.6
347,November,2049,Spring,Q4,false,1678.1
348,December,2049,Summer,Q4,true,1335.0
349,January,2050,Summer,Q1,true,7374.4
350,February,2050,Summer,Q1,false,3965.5
351,March,2050,Autumn,Q1,false,9008.3
352,April,2050,Autumn,Q2,false,656.5
353,May,2050,Autumn,Q2,false,403.6
354,June,2050,Winter,Q2,false,1932.5
355,July,2050,Winter,Q3,false,8462.4
356,August,2050,Winter,Q3,false,6770.9
357,September,2050,Spring,Q3,false,2479.4
358,October,2050,Spring,Q4,false,2357.5
359,November,2050,Spring,Q4,false,7373.4
360,December,2050,Summer,Q4,true,395.6
361,January,2051,Summer,Q1,true,2455.8
362,February,2051,Summer,Q1,false,2796.8
363,March,2051,Autumn,Q1,false,5080.8
364,April,2051,Autumn,Q2,false,6107.8
365,May,2051,Autumn,Q2,false,4337.5
366,June,2051,Winter,Q2,false,7386.9
367,July,2051,Winter,Q3,false,4523.4
368,August,2051,Winter,Q3,false,7542.6
369,September,2051,Spring,Q3,false,4887.4
370,October,2051,Spring,Q4,false,3933.0
371,November,2051,Spring,Q4,false,4499.1
372,December,2051,Summer,Q4,true,4457.6
373,January,2052,Summer,Q1,true,9971.3
374,February,2052,Summer,Q1,false,521.3
375,March,2052,Autumn,Q1,false,1112.9
376,April,2052,Autumn,Q2,false,9344.9
377,May,2052,Autumn,Q2,false,2334.7
378,June,2052,Winter,Q2,false,4768.1
379,July,2052,Winter,Q3,false,5039.1
380,August,2052,Winter,Q3,false,5954.0
381,September,2052,Spring,Q3,false,79.7
382,October,2052,Spring,Q4,false,3150.1
383,November,2052,Spring,Q4,false,9859.1
384,December,2052,Summer,Q4,true,315.6
385,January,2053,Summer,Q1,true,7631.0
386,February,2053,Summer,Q1,false,886.7
387,March,2053,Autumn,Q1,false,5367.9
388,April,2053,Autumn,Q2,false,8263.5
389,May,2053,Autumn,Q2,false,8559.2
390,June,2053,Winter,Q2,false,6068.6
391,July,2053,Winter,Q3,false,9297.2
392,August,2053,Winter,Q3,false,3095.3
393,September,2053,Spring,Q3,false,4205.1
394,October,2053,Spring,Q4,false,4665.8
395,November,2053,Spring,Q4,false,8863.6
396,December,2053,Summer,Q4,true,7324.6
397,January,2054,Summer,Q1,true,2374.0
398,February,2054,Summer,Q1,false,5498.1
399,March,2054,Autumn,Q1,false,1625.4
400,April,2054,Autumn,Q2,false,5664.6
401,May,2054,Autumn,Q2,false,9335.4
402,June,2054,Winter,Q2,false,2906.7
403,July,2054,Winter,Q3,false,9856.5
404,August,2054,Winter,Q3,false,3357.1
405,September,2054,Spring,Q3,false,1942.8
406,October,2054,Spring,Q4,false,9063.3
407,November,2054,Spring,Q4,false,4826.3
408,December,2054,Summer,Q4,true,5442.8
409,January,2055,Summer,Q1,true,5902.0
410,February,2055,Summer,Q1,false,1694.2
411,March,2055,Autumn,Q1,false,163.5
412,April,2055,Autumn,Q2,false,2907.3
413,May,2055,Autumn,Q2,false,5982.1
414,June,2055,Winter,Q2,false,8302.7
415,July,2055,Winter,Q3,false,2212.5
416,August,2055,Winter,Q3,false,934.2
417,September,2055,Spring,Q3,false,686.1
418,October,2055,Spring,Q4,false,9172.7
419,November,2055,Spring,Q4,false,7457.6
420,December,2055,Summer,Q4,true,2043.4
421,January,2056,Summer,Q1,true,2107.3
422,February,2056,Summer,Q1,false,3338.6
423,March,2056,Autumn,Q1,false,7977.9
424,April,2056,Autumn,Q2,false,1598.1
425,May,2056,Autumn,Q2,false,4750.4
426,June,2056,Winter,Q2,false,5299.9
427,July,2056,Winter,Q3,false,4647.1
428,August,2056,Winter,Q3,false,6034.1
429,September,2056,Spring,Q3,false,8591.0
430,October,2056,Spring,Q4,false,6993.3
431,November,2056,Spring,Q4,false,7065.6
432,December,2056,Summer,Q4,true,6744.1
433,January,2057,Summer,Q1,true,5934.6
434,February,2057,Summer,Q1,false,916.4
435,March,2057,Autumn,Q1,false,7470.2
436,April,2057,Autumn,Q2,false,7888.2
437,May,2057,Autumn,Q2,false,3689.8
438,June,2057,Winter,Q2,false,645.2
439,July,2057,Winter,Q3,false,679.2
440,August,2057,Winter,Q3,false,3766.5
441,September,2057,Spring,Q3,false,9172.1
442,October,2057,Spring,Q4,false,8032.0
443,November,2057,Spring,Q4,false,8401.9
444,December,2057,Summer,Q4,true,9613.8
445,January,2058,Summer,Q1,true,9974.1
446,February,2058,Summer,Q1,false,9586.0
447,March,2058,Autumn,Q1,false,4890.6
448,April,2058,Autumn,Q2,false,5347.1
449,May,2058,Autumn,Q2,false,6592.3
450,June,2058,Winter,Q2,false,112.6
451,July,2058,Winter,Q3,false,1161.3
452,August,2058,Winter,Q3,false,891.4
453,September,2058,Spring,Q3,false,7435.2
454,October,2058,Spring,Q4,false,5671.0
455,November,2058,Spring,Q4,false,214.2
456,December,2058,Summer,Q4,true,9301.0
457,January,2059,Summer,Q1,true,425.6
458,February,2059,Summer,Q1,false,2451.0
459,March,2059,Autumn,Q1,false,8529.8
460,April,2059,Autumn,Q2,false,6438.8
461,May,2059,Autumn,Q2,false,7144.4
462,June,2059,Winter,Q2,false,3979.4
463,July,2059,Winter,Q3,false,7719.8
464,August,2059,Winter,Q3,false,8692.7
465,September,2059,Spring,Q3,false,8609.8
466,October,2059,Spring,Q4,false,8372.7
467,November,2059,Spring,Q4,false,8166.8
468,December,2059,Summer,Q4,true,1060.2
469,January,2060,Summer,Q1,true,2037.8
470,February,2060,Summer,Q1,false,1047.8
471,March,2060,Autumn,Q1,false,4464.8
472,April,2060,Autumn,Q2,false,447.7
473,May,2060,Autumn,Q2,false,5173.0
474,June,2060,Winter,Q2,false,5631.2
475,July,2060,Winter,Q3,false,9976.5
476,August,2060,Winter,Q3,false,3771.4
477,September,2060,Spring,Q3,false,9626.0
478,October,2060,Spring,Q4,false,7790.4
479,November,2060,Spring,Q4,false,6727.6
480,December,2060,Summer,Q4,true,3360.3
481,January,2061,Summer,Q1,true,5528.8
482,February,2061,Summer,Q1,false,1849.5
483,March,2061,Autumn,Q1,false,4408.7
484,April,2061,Autumn,Q2,false,9957.0
485,May,2061,Autumn,Q2,false,1444.9
486,June,2061,Winter,Q2,false,4883.2
487,July,2061,Winter,Q3,false,4697.1
488,August,2061,Winter,Q3,false,1312.1
489,September,2061,Spring,Q3,false,3448.4
490,October,2061,Spring,Q4,false,3021.9
491,November,2061,Spring,Q4,false,4616.8
492,December,2061,Summer,Q4,true,7603.4
493,January,2062,Summer,Q1,true,890.0
494,February,2062,Summer,Q1,false,5502.7
495,March,2062,Autumn,Q1,false,1200.1
496,April,2062,Autumn,Q2,false,3292.0
497,May,2062,Autumn,Q2,false,3418.9
498,June,2062,Winter,Q2,false,4385.0
499,July,2062,Winter,Q3,false,9606.2
500,August,2062,Winter,Q3,false,3968.1
501,September,2062,Spring,Q3,false,4459.7
502,October,2062,Spring,Q4,false,6812.8
503,November,2062,Spring,Q4,false,9721.5
504,December,2062,Summer,Q4,true,4272.1
505,January,2063,Summer,Q1,true,8778.3
506,February,2063,Summer,Q1,false,649.5
507,March,2063,Autumn,Q1,false,1422.7
508,April,2063,Autumn,Q2,false,2476.5
509,May,2063,Autumn,Q2,false,8361.1
510,June,2063,Winter,Q2,false,9155.0
511,July,2063,Winter,Q3,false,3663.6
512,August,2063,Winter,Q3,false,8142.7
513,September,2063,Spring,Q3,false,9095.7
514,October,2063,Spring,Q4,false,192.9
515,November,2063,Spring,Q4,false,3828.3
516,December,2063,Summer,Q4,true,5064.0
517,January,2064,Summer,Q1,true,1053.6
518,February,2064,Summer,Q1,false,8153.4
519,March,2064,Autumn,Q1,false,303.7
520,April,2064,Autumn,Q2,false,4736.3
521,May,2064,Autumn,Q2,false,3798.9
522,June,2064,Winter,Q2,false,7556.7
523,July,2064,Winter,Q3,false,8093.9
524,August,2064,Winter,Q3,false,4026.1
525,September,2064,Spring,Q3,false,2579.8
526,October,2064,Spring,Q4,false,8629.9
527,November,2064,Spring,Q4,false,8346.1
528,December,2064,Summer,Q4,true,324.8
529,January,2065,Summer,Q1,true,4338.0
530,February,2065,Summer,Q1,false,6246.6
531,March,2065,Autumn,Q1,false,4771.5
532,April,2065,Autumn,Q2,false,9418.7
533,May,2065,Autumn,Q2,false,281.9
534,June,2065,Winter,Q2,false,9890.1
535,July,2065,Winter,Q3,false,5585.1
536,August,2065,Winter,Q3,false,5937.7
537,September,2065,Spring,Q3,false,5263.2
538,October,2065,Spring,Q4,false,8412.3
539,November,2065,Spring,Q4,false,2795.0
540,December,2065,Summer,Q4,true,199.7
541,January,2066,Summer,Q1,true,483.1
542,February,2066,Summer,Q1,false,7789.1
543,March,2066,Autumn,Q1,false,8315.6
544,April,2066,Autumn,Q2,false,3053.1
545,May,2066,Autumn,Q2,false,6428.3
546,June,2066,Winter,Q2,false,7430.3
547,July,2066,Winter,Q3,false,7592.3
548,August,2066,Winter,Q3,false,3208.7
549,September,2066,Spring,Q3,false,8439.4
550,October,2066,Spring,Q4,false,9215.5
551,November,2066,Spring,Q4,false,5245.6
552,December,2066,Summer,Q4,true,3944.6
553,January,2067,Summer,Q1,true,3030.3
554,February,2067,Summer,Q1,false,8180.9
555,March,2067,Autumn,Q1,false,4691.9
556,April,2067,Autumn,Q2,false,5242.5
557,May,2067,Autumn,Q2,false,9594.9
558,June,2067,Winter,Q2,false,8739.4
559,July,2067,Winter,Q3,false,8363.4
560,August,2067,Winter,Q3,false,7270.9
561,September,2067,Spring,Q3,false,6383.0
562,October,2067,Spring,Q4,false,2883.1
563,November,2067,Spring,Q4,false,6037.1
564,December,2067,Summer,Q4,true,7247.0
565,January,2068,Summer,Q1,true,5834.2
566,February,2068,Summer,Q1,false,7163.0
567,March,2068,Autumn,Q1,false,2861.0
568,April,2068,Autumn,Q2,false,3814.0
569,May,2068,Autumn,Q2,false,4479.6
570,June,2068,Winter,Q2,false,8371.8
571,July,2068,Winter,Q3,false,8811.2
572,August,2068,Winter,Q3,false,2996.6
573,September,2068,Spring,Q3,false,3138.3
574,October,2068,Spring,Q4,false,1721.2
575,November,2068,Spring,Q4,false,2709.2
576,December,2068,Summer,Q4,true,7548.8
577,January,2069,Summer,Q1,true,4142.7
578,February,2069,Summer,Q1,false,4658.0
579,March,2069,Autumn,Q1,false,6526.8
580,April,2069,Autumn,Q2,false,4872.2
581,May,2069,Autumn,Q2,false,5959.4
582,June,2069,Winter,Q2,false,7668.3
583,July,2069,Winter,Q3,false,9946.1
584,August,2069,Winter,Q3,false,2496.9
585,September,2069,Spring,Q3,false,3327.1
586,October,2069,Spring,Q4,false,5626.4
587,November,2069,Spring,Q4,false,8852.6
588,December,2069,Summer,Q4,true,7720.2
589,January,2070,Summer,Q1,true,8656.0
590,February,2070,Summer,Q1,false,5956.1
591,March,2070,Autumn,Q1,false,4109.9
592,April,2070,Autumn,Q2,false,4924.4
593,May,2070,Autumn,Q2,false,3244.8
594,June,2070,Winter,Q2,false,2916.0
595,July,2070,Winter,Q3,false,5597.0
596,August,2070,Winter,Q3,false,3323.0
597,September,2070,Spring,Q3,false,1630.6
598,October,2070,Spring,Q4,false,3719.0
599,November,2070,Spring,Q4,false,7031.5
600,December,2070,Summer,Q4,true,704.5
601,January,2071,Summer,Q1,true,371.8
602,February,2071,Summer,Q1,false,7327.6
603,March,2071,Autumn,Q1,false,1510.1
604,April,2071,Autumn,Q2,false,1895.2
605,May,2071,Autumn,Q2,false,1796.4
606,June,2071,Winter,Q2,false,3138.2
607,July,2071,Winter,Q3,false,3432.7
608,August,2071,Winter,Q3,false,5902.7
609,September,2071,Spring,Q3,false,711.8
610,October,2071,Spring,Q4,false,112.6
611,November,2071,Spring,Q4,false,768.3
612,December,2071,Summer,Q4,true,7724.5
613,January,2072,Summer,Q1,true,7987.2
614,February,2072,Summer,Q1,false,7039.2
615,March,2072,Autumn,Q1,false,1728.1
616,April,2072,Autumn,Q2,false,7901.1
617,May,2072,Autumn,Q2,false,6938.3
618,June,2072,Winter,Q2,false,1112.1
619,July,2072,Winter,Q3,false,1488.5
620,August,2072,Winter,Q3,false,3955.9
621,September,2072,Spring,Q3,false,6490.3
622,October,2072,Spring,Q4,false,6363.4
623,November,2072,Spring,Q4,false,8840.0
624,December,2072,Summer,Q4,true,7538.3
625,January,2073,Summer,Q1,true,9141.5
626,February,2073,Summer,Q1,false,9875.6
627,March,2073,Autumn,Q1,false,4391.6
628,April,2073,Autumn,Q2,false,7832.9
629,May,2073,Autumn,Q2,false,568.6
