Date,Day_of_Week,Month,Week_of_the_year,Day_of_month,Is_Weekend,Special_Event,Number_Attended
2025-04-26,Saturday,4,17,26,true,false,45
2025-04-27,Sunday,4,18,27,true,false,5
2025-04-28,Monday,4,18,28,false,true,555
2025-04-29,Tuesday,4,18,29,false,false,1747
2025-04-30,Wednesday,4,18,30,false,true,582
2025-05-01,Thursday,5,18,1,false,true,812
2025-05-02,Friday,5,18,2,false,true,539
2025-05-03,Saturday,5,18,3,true,false,21
2025-05-04,Sunday,5,19,4,true,false,4
2025-05-05,Monday,5,19,5,false,true,462
2025-05-06,Tuesday,5,19,6,false,true,1030
2025-05-07,Wednesday,5,19,7,false,false,584
2025-05-08,Thursday,5,19,8,false,true,1316
2025-05-09,Friday,5,19,9,false,false,626
2025-05-10,Saturday,5,19,10,true,false,1
2025-05-11,Sunday,5,20,11,true,false,4
2025-05-12,Monday,5,20,12,false,true,654
2025-05-13,Tuesday,5,20,13,false,true,1137
2025-05-14,Wednesday,5,20,14,false,true,454
2025-05-15,Thursday,5,20,15,false,true,1284
2025-05-16,Friday,5,20,16,false,true,596
2025-05-17,Saturday,5,20,17,true,false,27
2025-05-18,Sunday,5,21,18,true,true,5
2025-05-19,Monday,5,21,19,false,false,436
2025-05-20,Tuesday,5,21,20,false,false,1445
2025-05-21,Wednesday,5,21,21,false,true,229
2025-05-22,Thursday,5,21,22,false,true,1080
2025-05-23,Friday,5,21,23,false,false,595
2025-05-24,Saturday,5,21,24,true,true,49
2025-05-25,Sunday,5,22,25,true,false,4
2025-05-26,Monday,5,22,26,false,true,433
2025-05-27,Tuesday,5,22,27,false,true,1563
2025-05-28,Wednesday,5,22,28,false,true,636
2025-05-29,Thursday,5,22,29,false,true,1421
2025-05-30,Friday,5,22,30,false,true,502
2025-05-31,Saturday,5,22,31,true,true,46
2025-06-01,Sunday,6,23,1,true,false,3
2025-06-02,Monday,6,23,2,false,false,646
2025-06-03,Tuesday,6,23,3,false,false,894
2025-06-04,Wednesday,6,23,4,false,true,440
2025-06-05,Thursday,6,23,5,false,true,1657
2025-06-06,Friday,6,23,6,false,true,562
2025-06-07,Saturday,6,23,7,true,false,35
2025-06-08,Sunday,6,24,8,true,false,4
2025-06-09,Monday,6,24,9,false,true,419
2025-06-10,Tuesday,6,24,10,false,false,1621
2025-06-11,Wednesday,6,24,11,false,true,531
2025-06-12,Thursday,6,24,12,false,false,1573
2025-06-13,Friday,6,24,13,false,true,628
2025-06-14,Saturday,6,24,14,true,false,30
2025-06-15,Sunday,6,25,15,true,false,5
2025-06-16,Monday,6,25,16,false,true,570
2025-06-17,Tuesday,6,25,17,false,true,1542
2025-06-18,Wednesday,6,25,18,false,true,245
2025-06-19,Thursday,6,25,19,false,true,1008
2025-06-20,Friday,6,25,20,false,false,313
2025-06-21,Saturday,6,25,21,true,false,21
2025-06-22,Sunday,6,26,22,true,false,3
2025-06-23,Monday,6,26,23,false,false,547
2025-06-24,Tuesday,6,26,24,false,true,1047
2025-06-25,Wednesday,6,26,25,false,true,314
2025-06-26,Thursday,6,26,26,false,true,827
2025-06-27,Friday,6,26,27,false,true,551
2025-06-28,Saturday,6,26,28,true,false,6
2025-06-29,Sunday,6,27,29,true,false,4
2025-06-30,Monday,6,27,30,false,true,333
2025-07-01,Tuesday,7,27,1,false,true,817
2025-07-02,Wednesday,7,27,2,false,true,273
2025-07-03,Thursday,7,27,3,false,false,1054
2025-07-04,Friday,7,27,4,false,false,643
2025-07-05,Saturday,7,27,5,true,false,49
2025-07-06,Sunday,7,28,6,true,false,5
2025-07-07,Monday,7,28,7,false,false,332
2025-07-08,Tuesday,7,28,8,false,false,1371
2025-07-09,Wednesday,7,28,9,false,true,478
2025-07-10,Thursday,7,28,10,false,true,1072
2025-07-11,Friday,7,28,11,false,false,681
2025-07-12,Saturday,7,28,12,true,false,34
2025-07-13,Sunday,7,29,13,true,false,4
2025-07-14,Monday,7,29,14,false,false,620
2025-07-15,Tuesday,7,29,15,false,false,835
2025-07-16,Wednesday,7,29,16,false,true,477
2025-07-17,Thursday,7,29,17,false,true,822
2025-07-18,Friday,7,29,18,false,true,581
2025-07-19,Saturday,7,29,19,true,false,11
2025-07-20,Sunday,7,30,20,true,true,3
2025-07-21,Monday,7,30,21,false,false,420
2025-07-22,Tuesday,7,30,22,false,false,1130
2025-07-23,Wednesday,7,30,23,false,false,623
2025-07-24,Thursday,7,30,24,false,false,1116
2025-07-25,Friday,7,30,25,false,true,636
2025-07-26,Saturday,7,30,26,true,false,28
2025-07-27,Sunday,7,31,27,true,false,3
2025-07-28,Monday,7,31,28,false,false,476
2025-07-29,Tuesday,7,31,29,false,true,1526
2025-07-30,Wednesday,7,31,30,false,true,650
2025-07-31,Thursday,7,31,31,false,true,1411
2025-08-01,Friday,8,31,1,false,true,442
2025-08-02,Saturday,8,31,2,true,false,31
2025-08-03,Sunday,8,32,3,true,true,3
2025-08-04,Monday,8,32,4,false,false,677
2025-08-05,Tuesday,8,32,5,false,false,804
2025-08-06,Wednesday,8,32,6,false,true,554
2025-08-07,Thursday,8,32,7,false,true,1162
2025-08-08,Friday,8,32,8,false,true,598
2025-08-09,Saturday,8,32,9,true,false,47
2025-08-10,Sunday,8,33,10,true,false,5
2025-08-11,Monday,8,33,11,false,true,507
2025-08-12,Tuesday,8,33,12,false,true,871
2025-08-13,Wednesday,8,33,13,false,true,388
2025-08-14,Thursday,8,33,14,false,true,1599
2025-08-15,Friday,8,33,15,false,false,659
2025-08-16,Saturday,8,33,16,true,true,44
2025-08-17,Sunday,8,34,17,true,false,3
2025-08-18,Monday,8,34,18,false,false,696
2025-08-19,Tuesday,8,34,19,false,true,1253
2025-08-20,Wednesday,8,34,20,false,false,640
2025-08-21,Thursday,8,34,21,false,true,1296
2025-08-22,Friday,8,34,22,false,true,702
2025-08-23,Saturday,8,34,23,true,false,14
2025-08-24,Sunday,8,35,24,true,false,4
2025-08-25,Monday,8,35,25,false,true,590
2025-08-26,Tuesday,8,35,26,false,false,1338
2025-08-27,Wednesday,8,35,27,false,false,499
2025-08-28,Thursday,8,35,28,false,true,1286
2025-08-29,Friday,8,35,29,false,false,653
2025-08-30,Saturday,8,35,30,true,false,30
2025-08-31,Sunday,8,36,31,true,true,3
2025-09-01,Monday,9,36,1,false,true,477
2025-09-02,Tuesday,9,36,2,false,true,1111
2025-09-03,Wednesday,9,36,3,false,true,324
2025-09-04,Thursday,9,36,4,false,false,1266
2025-09-05,Friday,9,36,5,false,true,412
2025-09-06,Saturday,9,36,6,true,false,31
2025-09-07,Sunday,9,37,7,true,true,5
2025-09-08,Monday,9,37,8,false,false,516
2025-09-09,Tuesday,9,37,9,false,true,1583
2025-09-10,Wednesday,9,37,10,false,true,516
2025-09-11,Thursday,9,37,11,false,false,1572
2025-09-12,Friday,9,37,12,false,true,303
2025-09-13,Saturday,9,37,13,true,false,19
2025-09-14,Sunday,9,38,14,true,false,4
2025-09-15,Monday,9,38,15,false,true,637
2025-09-16,Tuesday,9,38,16,false,true,1126
2025-09-17,Wednesday,9,38,17,false,true,441
2025-09-18,Thursday,9,38,18,false,false,1473
2025-09-19,Friday,9,38,19,false,true,607
2025-09-20,Saturday,9,38,20,true,false,17
2025-09-21,Sunday,9,39,21,true,true,3
2025-09-22,Monday,9,39,22,false,false,668
2025-09-23,Tuesday,9,39,23,false,true,824
2025-09-24,Wednesday,9,39,24,false,true,606
2025-09-25,Thursday,9,39,25,false,true,1636
2025-09-26,Friday,9,39,26,false,false,539
2025-09-27,Saturday,9,39,27,true,false,10
2025-09-28,Sunday,9,40,28,true,false,5
2025-09-29,Monday,9,40,29,false,true,351
2025-09-30,Tuesday,9,40,30,false,true,1280
2025-10-01,Wednesday,10,40,1,false,true,238
2025-10-02,Thursday,10,40,2,false,true,968
2025-10-03,Friday,10,40,3,false,true,552
2025-10-04,Saturday,10,40,4,true,false,37
2025-10-05,Sunday,10,41,5,true,false,4
2025-10-06,Monday,10,41,6,false,false,686
2025-10-07,Tuesday,10,41,7,false,true,1258
2025-10-08,Wednesday,10,41,8,false,true,601
2025-10-09,Thursday,10,41,9,false,false,1420
2025-10-10,Friday,10,41,10,false,true,485
2025-10-11,Saturday,10,41,11,true,false,23
2025-10-12,Sunday,10,42,12,true,false,3
2025-10-13,Monday,10,42,13,false,true,500
2025-10-14,Tuesday,10,42,14,false,true,1657
2025-10-15,Wednesday,10,42,15,false,false,538
2025-10-16,Thursday,10,42,16,false,true,1127
2025-10-17,Friday,10,42,17,false,true,642
2025-10-18,Saturday,10,42,18,true,false,40
2025-10-19,Sunday,10,43,19,true,false,5
2025-10-20,Monday,10,43,20,false,true,471
2025-10-21,Tuesday,10,43,21,false,true,1616
2025-10-22,Wednesday,10,43,22,false,false,474
2025-10-23,Thursday,10,43,23,false,false,1429
2025-10-24,Friday,10,43,24,false,false,564
2025-10-25,Saturday,10,43,25,true,false,33
2025-10-26,Sunday,10,44,26,true,false,3
2025-10-27,Monday,10,44,27,false,true,563
2025-10-28,Tuesday,10,44,28,false,true,1665
2025-10-29,Wednesday,10,44,29,false,false,319
2025-10-30,Thursday,10,44,30,false,true,1071
2025-10-31,Friday,10,44,31,false,true,631
2025-11-01,Saturday,11,44,1,true,false,42
2025-11-02,Sunday,11,45,2,true,true,4
2025-11-03,Monday,11,45,3,false,true,291
2025-11-04,Tuesday,11,45,4,false,true,1518
2025-11-05,Wednesday,11,45,5,false,true,226
2025-11-06,Thursday,11,45,6,false,false,1712
2025-11-07,Friday,11,45,7,false,false,641
2025-11-08,Saturday,11,45,8,true,true,24
2025-11-09,Sunday,11,46,9,true,false,5
2025-11-10,Monday,11,46,10,false,true,589
2025-11-11,Tuesday,11,46,11,false,true,1633
2025-11-12,Wednesday,11,46,12,false,true,553
2025-11-13,Thursday,11,46,13,false,true,1428
2025-11-14,Friday,11,46,14,false,false,384
2025-11-15,Saturday,11,46,15,true,false,14
2025-11-16,Sunday,11,47,16,true,false,4
2025-11-17,Monday,11,47,17,false,true,434
2025-11-18,Tuesday,11,47,18,false,true,924
2025-11-19,Wednesday,11,47,19,false,true,334
2025-11-20,Thursday,11,47,20,false,false,998
2025-11-21,Friday,11,47,21,false,false,627
2025-11-22,Saturday,11,47,22,true,true,16
2025-11-23,Sunday,11,48,23,true,false,3
2025-11-24,Monday,11,48,24,false,false,427
2025-11-25,Tuesday,11,48,25,false,false,1683
2025-11-26,Wednesday,11,48,26,false,true,362
2025-11-27,Thursday,11,48,27,false,false,863
2025-11-28,Friday,11,48,28,false,true,390
2025-11-29,Saturday,11,48,29,true,false,33
2025-11-30,Sunday,11,49,30,true,false,4
2025-12-01,Monday,12,49,1,false,true,606
2025-12-02,Tuesday,12,49,2,false,true,1285
2025-12-03,Wednesday,12,49,3,false,true,397
2025-12-04,Thursday,12,49,4,false,false,1272
2025-12-05,Friday,12,49,5,false,true,640
2025-12-06,Saturday,12,49,6,true,false,8
2025-12-07,Sunday,12,50,7,true,false,5
2025-12-08,Monday,12,50,8,false,true,523
2025-12-09,Tuesday,12,50,9,false,true,1476
2025-12-10,Wednesday,12,50,10,false,true,253
2025-12-11,Thursday,12,50,11,false,true,1643
2025-12-12,Friday,12,50,12,false,true,358
2025-12-13,Saturday,12,50,13,true,true,24
2025-12-14,Sunday,12,51,14,true,true,4
2025-12-15,Monday,12,51,15,false,false,496
2025-12-16,Tuesday,12,51,16,false,true,1055
2025-12-17,Wednesday,12,51,17,false,true,286
2025-12-18,Thursday,12,51,18,false,false,834
2025-12-19,Friday,12,51,19,false,true,702
2025-12-20,Saturday,12,51,20,true,false,23
2025-12-21,Sunday,12,52,21,true,false,3
2025-12-22,Monday,12,52,22,false,true,555
2025-12-23,Tuesday,12,52,23,false,false,1096
2025-12-24,Wednesday,12,52,24,false,false,386
2025-12-25,Thursday,12,52,25,false,false,1716
2025-12-26,Friday,12,52,26,false,true,686
2025-12-27,Saturday,12,52,27,true,false,42
2025-12-28,Sunday,12,53,28,true,false,3
2025-12-29,Monday,12,53,29,false,true,510
2025-12-30,Tuesday,12,53,30,false,false,829
2025-12-31,Wednesday,12,53,31,false,true,661
2026-01-01,Thursday,1,1,1,false,true,1171
2026-01-02,Friday,1,1,2,false,false,383
2026-01-03,Saturday,1,1,3,true,true,50
2026-01-04,Sunday,1,2,4,true,true,5
2026-01-05,Monday,1,2,5,false,true,313
2026-01-06,Tuesday,1,2,6,false,true,1283
2026-01-07,Wednesday,1,2,7,false,true,409
2026-01-08,Thursday,1,2,8,false,true,1281
2026-01-09,Friday,1,2,9,false,false,521
2026-01-10,Saturday,1,2,10,true,false,14
2026-01-11,Sunday,1,3,11,true,false,3
2026-01-12,Monday,1,3,12,false,true,663
2026-01-13,Tuesday,1,3,13,false,false,1356
2026-01-14,Wednesday,1,3,14,false,true,537
2026-01-15,Thursday,1,3,15,false,true,1585
2026-01-16,Friday,1,3,16,false,false,547
2026-01-17,Saturday,1,3,17,true,false,46
2026-01-18,Sunday,1,4,18,true,false,3
2026-01-19,Monday,1,4,19,false,false,552
2026-01-20,Tuesday,1,4,20,false,false,1750
2026-01-21,Wednesday,1,4,21,false,false,291
2026-01-22,Thursday,1,4,22,false,false,1270
2026-01-23,Friday,1,4,23,false,false,619
2026-01-24,Saturday,1,4,24,true,false,2
2026-01-25,Sunday,1,5,25,true,false,4
2026-01-26,Monday,1,5,26,false,true,515
2026-01-27,Tuesday,1,5,27,false,true,1640
2026-01-28,Wednesday,1,5,28,false,false,498
2026-01-29,Thursday,1,5,29,false,true,1044
2026-01-30,Friday,1,5,30,false,false,677
2026-01-31,Saturday,1,5,31,true,false,46
2026-02-01,Sunday,2,6,1,true,false,4
2026-02-02,Monday,2,6,2,false,true,580
2026-02-03,Tuesday,2,6,3,false,true,1469
2026-02-04,Wednesday,2,6,4,false,true,550
2026-02-05,Thursday,2,6,5,false,true,1065
2026-02-06,Friday,2,6,6,false,true,327
2026-02-07,Saturday,2,6,7,true,true,48
2026-02-08,Sunday,2,7,8,true,false,4
2026-02-09,Monday,2,7,9,false,true,627
2026-02-10,Tuesday,2,7,10,false,true,1466
2026-02-11,Wednesday,2,7,11,false,true,363
2026-02-12,Thursday,2,7,12,false,true,1485
2026-02-13,Friday,2,7,13,false,true,596
2026-02-14,Saturday,2,7,14,true,false,14
2026-02-15,Sunday,2,8,15,true,true,4
2026-02-16,Monday,2,8,16,false,true,388
2026-02-17,Tuesday,2,8,17,false,false,1597
2026-02-18,Wednesday,2,8,18,false,false,226
2026-02-19,Thursday,2,8,19,false,true,1731
2026-02-20,Friday,2,8,20,false,true,641
2026-02-21,Saturday,2,8,21,true,false,22
2026-02-22,Sunday,2,9,22,true,false,4
2026-02-23,Monday,2,9,23,false,false,312
2026-02-24,Tuesday,2,9,24,false,true,1674
2026-02-25,Wednesday,2,9,25,false,false,503
2026-02-26,Thursday,2,9,26,false,true,1615
2026-02-27,Friday,2,9,27,false,true,373
2026-02-28,Saturday,2,9,28,true,false,11
2026-03-01,Sunday,3,10,1,true,true,3
2026-03-02,Monday,3,10,2,false,false,619
2026-03-03,Tuesday,3,10,3,false,true,900
2026-03-04,Wednesday,3,10,4,false,true,618
2026-03-05,Thursday,3,10,5,false,true,1634
2026-03-06,Friday,3,10,6,false,true,684
2026-03-07,Saturday,3,10,7,true,false,1
2026-03-08,Sunday,3,11,8,true,false,4
2026-03-09,Monday,3,11,9,false,true,278
2026-03-10,Tuesday,3,11,10,false,true,992
2026-03-11,Wednesday,3,11,11,false,true,225
2026-03-12,Thursday,3,11,12,false,false,1149
2026-03-13,Friday,3,11,13,false,true,469
2026-03-14,Saturday,3,11,14,true,false,1
2026-03-15,Sunday,3,12,15,true,false,3
2026-03-16,Monday,3,12,16,false,true,566
2026-03-17,Tuesday,3,12,17,false,false,1509
2026-03-18,Wednesday,3,12,18,false,true,594
2026-03-19,Thursday,3,12,19,false,true,887
2026-03-20,Friday,3,12,20,false,true,400
2026-03-21,Saturday,3,12,21,true,false,47
2026-03-22,Sunday,3,13,22,true,true,4
2026-03-23,Monday,3,13,23,false,false,265
2026-03-24,Tuesday,3,13,24,false,true,1182
2026-03-25,Wednesday,3,13,25,false,true,412
2026-03-26,Thursday,3,13,26,false,false,1428
2026-03-27,Friday,3,13,27,false,false,311
2026-03-28,Saturday,3,13,28,true,false,43
2026-03-29,Sunday,3,14,29,true,false,3
2026-03-30,Monday,3,14,30,false,true,613
2026-03-31,Tuesday,3,14,31,false,false,981
2026-04-01,Wednesday,4,14,1,false,true,296
2026-04-02,Thursday,4,14,2,false,false,1040
2026-04-03,Friday,4,14,3,false,false,534
2026-04-04,Saturday,4,14,4,true,true,41
2026-04-05,Sunday,4,15,5,true,false,4
2026-04-06,Monday,4,15,6,false,true,532
2026-04-07,Tuesday,4,15,7,false,true,1129
2026-04-08,Wednesday,4,15,8,false,true,662
2026-04-09,Thursday,4,15,9,false,false,1585
2026-04-10,Friday,4,15,10,false,true,346
2026-04-11,Saturday,4,15,11,true,false,41
2026-04-12,Sunday,4,16,12,true,false,3
2026-04-13,Monday,4,16,13,false,true,428
2026-04-14,Tuesday,4,16,14,false,true,1637
2026-04-15,Wednesday,4,16,15,false,true,399
2026-04-16,Thursday,4,16,16,false,false,1276
2026-04-17,Friday,4,16,17,false,false,585
2026-04-18,Saturday,4,16,18,true,false,2
2026-04-19,Sunday,4,17,19,true,true,3
2026-04-20,Monday,4,17,20,false,true,414
2026-04-21,Tuesday,4,17,21,false,true,1648
2026-04-22,Wednesday,4,17,22,false,true,502
2026-04-23,Thursday,4,17,23,false,false,980
2026-04-24,Friday,4,17,24,false,true,541
2026-04-25,Saturday,4,17,25,true,false,28
2026-04-26,Sunday,4,18,26,true,false,3
2026-04-27,Monday,4,18,27,false,true,333
2026-04-28,Tuesday,4,18,28,false,false,1390
2026-04-29,Wednesday,4,18,29,false,true,276
2026-04-30,Thursday,4,18,30,false,true,1341
2026-05-01,Friday,5,18,1,false,false,411
2026-05-02,Saturday,5,18,2,true,false,17
2026-05-03,Sunday,5,19,3,true,false,3
2026-05-04,Monday,5,19,4,false,true,604
2026-05-05,Tuesday,5,19,5,false,false,1391
2026-05-06,Wednesday,5,19,6,false,false,367
2026-05-07,Thursday,5,19,7,false,true,1217
2026-05-08,Friday,5,19,8,false,true,708
2026-05-09,Saturday,5,19,9,true,false,41
2026-05-10,Sunday,5,20,10,true,false,3
2026-05-11,Monday,5,20,11,false,true,541
2026-05-12,Tuesday,5,20,12,false,false,1180
2026-05-13,Wednesday,5,20,13,false,true,328
2026-05-14,Thursday,5,20,14,false,false,1662
2026-05-15,Friday,5,20,15,false,false,544
2026-05-16,Saturday,5,20,16,true,false,22
2026-05-17,Sunday,5,21,17,true,false,3
2026-05-18,Monday,5,21,18,false,true,633
2026-05-19,Tuesday,5,21,19,false,false,1389
2026-05-20,Wednesday,5,21,20,false,true,586
2026-05-21,Thursday,5,21,21,false,true,1416
2026-05-22,Friday,5,21,22,false,true,456
2026-05-23,Saturday,5,21,23,true,false,45
2026-05-24,Sunday,5,22,24,true,false,5
2026-05-25,Monday,5,22,25,false,true,306
2026-05-26,Tuesday,5,22,26,false,false,1097
2026-05-27,Wednesday,5,22,27,false,true,506
2026-05-28,Thursday,5,22,28,false,true,998
2026-05-29,Friday,5,22,29,false,true,424
2026-05-30,Saturday,5,22,30,true,true,19
2026-05-31,Sunday,5,23,31,true,false,3
2026-06-01,Monday,6,23,1,false,true,510
2026-06-02,Tuesday,6,23,2,false,true,1000
2026-06-03,Wednesday,6,23,3,false,true,228
2026-06-04,Thursday,6,23,4,false,true,1132
2026-06-05,Friday,6,23,5,false,false,397
2026-06-06,Saturday,6,23,6,true,true,36
2026-06-07,Sunday,6,24,7,true,false,4
2026-06-08,Monday,6,24,8,false,true,397
2026-06-09,Tuesday,6,24,9,false,false,897
2026-06-10,Wednesday,6,24,10,false,true,370
2026-06-11,Thursday,6,24,11,false,false,1341
2026-06-12,Friday,6,24,12,false,false,332
2026-06-13,Saturday,6,24,13,true,false,45
2026-06-14,Sunday,6,25,14,true,false,3
2026-06-15,Monday,6,25,15,false,false,288
2026-06-16,Tuesday,6,25,16,false,true,915
2026-06-17,Wednesday,6,25,17,false,true,640
2026-06-18,Thursday,6,25,18,false,false,992
2026-06-19,Friday,6,25,19,false,false,468
2026-06-20,Saturday,6,25,20,true,false,10
2026-06-21,Sunday,6,26,21,true,false,5
2026-06-22,Monday,6,26,22,false,false,271
2026-06-23,Tuesday,6,26,23,false,true,1170
2026-06-24,Wednesday,6,26,24,false,true,426
2026-06-25,Thursday,6,26,25,false,true,1044
2026-06-26,Friday,6,26,26,false,true,623
2026-06-27,Saturday,6,26,27,true,true,40
2026-06-28,Sunday,6,27,28,true,false,3
2026-06-29,Monday,6,27,29,false,false,436
2026-06-30,Tuesday,6,27,30,false,true,1492
2026-07-01,Wednesday,7,27,1,false,true,423
2026-07-02,Thursday,7,27,2,false,true,1732
2026-07-03,Friday,7,27,3,false,false,396
2026-07-04,Saturday,7,27,4,true,false,30
2026-07-05,Sunday,7,28,5,true,false,5
2026-07-06,Monday,7,28,6,false,true,619
2026-07-07,Tuesday,7,28,7,false,false,1575
2026-07-08,Wednesday,7,28,8,false,true,270
2026-07-09,Thursday,7,28,9,false,false,1470
2026-07-10,Friday,7,28,10,false,true,618
2026-07-11,Saturday,7,28,11,true,false,44
2026-07-12,Sunday,7,29,12,true,false,4
2026-07-13,Monday,7,29,13,false,false,317
2026-07-14,Tuesday,7,29,14,false,true,1735
2026-07-15,Wednesday,7,29,15,false,true,387
2026-07-16,Thursday,7,29,16,false,false,1011
2026-07-17,Friday,7,29,17,false,true,300
2026-07-18,Saturday,7,29,18,true,true,29
2026-07-19,Sunday,7,30,19,true,false,4
2026-07-20,Monday,7,30,20,false,true,322
2026-07-21,Tuesday,7,30,21,false,true,1675
2026-07-22,Wednesday,7,30,22,false,true,573
2026-07-23,Thursday,7,30,23,false,false,1117
2026-07-24,Friday,7,30,24,false,true,666
2026-07-25,Saturday,7,30,25,true,false,47
2026-07-26,Sunday,7,31,26,true,false,4
2026-07-27,Monday,7,31,27,false,true,611
2026-07-28,Tuesday,7,31,28,false,true,829
2026-07-29,Wednesday,7,31,29,false,true,504
2026-07-30,Thursday,7,31,30,false,true,1518
2026-07-31,Friday,7,31,31,false,false,695
2026-08-01,Saturday,8,31,1,true,false,7
2026-08-02,Sunday,8,32,2,true,true,5
2026-08-03,Monday,8,32,3,false,true,306
2026-08-04,Tuesday,8,32,4,false,true,925
2026-08-05,Wednesday,8,32,5,false,false,241
2026-08-06,Thursday,8,32,6,false,true,994
2026-08-07,Friday,8,32,7,false,false,481
2026-08-08,Saturday,8,32,8,true,true,5
2026-08-09,Sunday,8,33,9,true,false,3
2026-08-10,Monday,8,33,10,false,true,485
2026-08-11,Tuesday,8,33,11,false,false,1151
2026-08-12,Wednesday,8,33,12,false,false,333
2026-08-13,Thursday,8,33,13,false,false,1096
2026-08-14,Friday,8,33,14,false,true,607
2026-08-15,Saturday,8,33,15,true,false,9
2026-08-16,Sunday,8,34,16,true,false,3
2026-08-17,Monday,8,34,17,false,true,299
2026-08-18,Tuesday,8,34,18,false,true,1186
2026-08-19,Wednesday,8,34,19,false,false,370
2026-08-20,Thursday,8,34,20,false,true,1593
2026-08-21,Friday,8,34,21,false,true,604
2026-08-22,Saturday,8,34,22,true,false,38
2026-08-23,Sunday,8,35,23,true,false,3
2026-08-24,Monday,8,35,24,false,true,489
2026-08-25,Tuesday,8,35,25,false,false,1572
2026-08-26,Wednesday,8,35,26,false,true,290
2026-08-27,Thursday,8,35,27,false,true,1280
2026-08-28,Friday,8,35,28,false,true,559
2026-08-29,Saturday,8,35,29,true,true,46
2026-08-30,Sunday,8,36,30,true,true,4
2026-08-31,Monday,8,36,31,false,true,600
2026-09-01,Tuesday,9,36,1,false,true,916
2026-09-02,Wednesday,9,36,2,false,false,407
2026-09-03,Thursday,9,36,3,false,true,1087
2026-09-04,Friday,9,36,4,false,true,523
2026-09-05,Saturday,9,36,5,true,false,34
2026-09-06,Sunday,9,37,6,true,false,4
2026-09-07,Monday,9,37,7,false,true,366
2026-09-08,Tuesday,9,37,8,false,true,1662
2026-09-09,Wednesday,9,37,9,false,true,307
2026-09-10,Thursday,9,37,10,false,false,1709
2026-09-11,Friday,9,37,11,false,true,700
2026-09-12,Saturday,9,37,12,true,false,14
2026-09-13,Sunday,9,38,13,true,false,5
2026-09-14,Monday,9,38,14,false,true,672
2026-09-15,Tuesday,9,38,15,false,true,1747
2026-09-16,Wednesday,9,38,16,false,true,641
2026-09-17,Thursday,9,38,17,false,false,1616
2026-09-18,Friday,9,38,18,false,false,390
2026-09-19,Saturday,9,38,19,true,true,46
2026-09-20,Sunday,9,39,20,true,false,4
2026-09-21,Monday,9,39,21,false,true,639
2026-09-22,Tuesday,9,39,22,false,false,1569
2026-09-23,Wednesday,9,39,23,false,true,441
2026-09-24,Thursday,9,39,24,false,true,1321
2026-09-25,Friday,9,39,25,false,false,390
2026-09-26,Saturday,9,39,26,true,false,31
